review,aspect_category,sentiment
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE#GENERAL,negative
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",SERVICE#GENERAL,negative
"well, i didn't find it there, and trust, i have told everyone i can think of about my experience.",RESTAURANT#GENERAL,negative
the last time i walked by it looked pretty empty. hmmm.,RESTAURANT#MISCELLANEOUS,negative
This place has got to be the best japanese restaurant in the new york area.,RESTAURANT#GENERAL,positive
I had a great experience.,RESTAURANT#GENERAL,positive
Food is great.,FOOD#QUALITY,positive
Service is top notch.,SERVICE#GENERAL,positive
I have been going back again and again.,RESTAURANT#GENERAL,positive
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD#QUALITY,positive
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",FOOD#QUALITY,positive
The sushi seemed pretty fresh and was adequately proportioned.,FOOD#QUALITY,positive
The sushi seemed pretty fresh and was adequately proportioned.,FOOD#STYLE_OPTIONS,positive
The rice to fish ration was also good--they didn't try to overpack the rice.,FOOD#STYLE_OPTIONS,positive
We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#QUALITY,positive
We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#PRICES,positive
I went to this restaurant with a woman that I met recently.,,
She lives nearby but had never gone to this establishment thinking that it might be too touristy.,,
Surprisingly nothing could be further from the truth.,RESTAURANT#MISCELLANEOUS,positive
"In the evening, this place attracted a well dressed, with it, NY crowd.",RESTAURANT#MISCELLANEOUS,positive
The food was well prepared and the service impecable.,FOOD#QUALITY,positive
The food was well prepared and the service impecable.,SERVICE#GENERAL,positive
I'm going back.,RESTAURANT#GENERAL,positive
"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",,
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,AMBIENCE#GENERAL,positive
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#QUALITY,positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#STYLE_OPTIONS,positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#PRICES,positive
I will be going back and heartily recommend it!,RESTAURANT#GENERAL,positive
"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",,
"It is terrific, as is the value.",FOOD#QUALITY,positive
"It is terrific, as is the value.",FOOD#PRICES,positive
"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#STYLE_OPTIONS,positive
"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#QUALITY,positive
"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#PRICES,positive
"I am not a vegetarian but, almost all the dishes were great.",FOOD#QUALITY,positive
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",,
Go hungry and enjoy.,RESTAURANT#GENERAL,positive
"The food here is rather good, but only if you like to wait for it.",FOOD#QUALITY,positive
"The food here is rather good, but only if you like to wait for it.",SERVICE#GENERAL,negative
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,negative
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,negative
"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE#GENERAL,negative
"The kitchen however, is almost always slow.",SERVICE#GENERAL,negative
"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD#QUALITY,negative
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE#GENERAL,positive
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",RESTAURANT#MISCELLANEOUS,positive
Just went here for my girlfriends 23rd bday.,,
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,LOCATION#GENERAL,positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,SERVICE#GENERAL,positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#QUALITY,positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#PRICES,positive
The lava cake dessert was incredible and I recommend it.,FOOD#QUALITY,positive
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",AMBIENCE#GENERAL,positive
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",AMBIENCE#GENERAL,positive
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,positive
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,negative
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#STYLE_OPTIONS,positive
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,negative
"However, go for the ambience, and consider the food just a companion for a trip across the world!",AMBIENCE#GENERAL,positive
"However, go for the ambience, and consider the food just a companion for a trip across the world!",FOOD#QUALITY,neutral
"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",,
IT WAS HORRIBLE.,RESTAURANT#GENERAL,negative
The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY,negative
The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY,negative
It looked like shredded cheese partly done - still in strips.,FOOD#STYLE_OPTIONS,negative
I have eaten at many pizza places around NYC and this is hands down the worst.,,
This has got to be one of the most overrated restaurants in Brooklyn.,RESTAURANT#GENERAL,negative
The pizza is overpriced and soggy.,FOOD#QUALITY,negative
The pizza is overpriced and soggy.,FOOD#PRICES,negative
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,positive
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,negative
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,negative
"A big disappointment, all around.",RESTAURANT#GENERAL,negative
I think I've had some the best meals of my life at minnow.,FOOD#QUALITY,positive
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#QUALITY,positive
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",DRINKS#STYLE_OPTIONS,positive
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#STYLE_OPTIONS,positive
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD#QUALITY,positive
Worth the trip from Manhattan.,RESTAURANT#GENERAL,positive
Was there Friday night.,,
Best Pastrami I ever had and great portion without being ridiculous.,FOOD#QUALITY,positive
Best Pastrami I ever had and great portion without being ridiculous.,FOOD#STYLE_OPTIONS,positive
And I've been to many NYC delis.,,
My wife had the fried shrimp which are huge and loved it.,FOOD#STYLE_OPTIONS,positive
My wife had the fried shrimp which are huge and loved it.,FOOD#QUALITY,positive
Price no more than a Jersey deli but way better.,,
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",RESTAURANT#GENERAL,positive
This place is the most Japanese it can ever get.,RESTAURANT#MISCELLANEOUS,positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",RESTAURANT#MISCELLANEOUS,positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",FOOD#STYLE_OPTIONS,positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",FOOD#QUALITY,positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",SERVICE#GENERAL,positive
This place is worth an one-hour drive.,RESTAURANT#GENERAL,positive
"I am so coming back here again, as much as I can.",RESTAURANT#GENERAL,positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",RESTAURANT#GENERAL,positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL,positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY,positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL,positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY,positive
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE#GENERAL,positive
Sit outside in the warm weather; inside for cozy winter.,,
Decent wine at reasonable prices.,DRINKS#QUALITY,neutral
Decent wine at reasonable prices.,DRINKS#PRICES,positive
Have been dozens of times and never failed to enjoy the experience.,RESTAURANT#GENERAL,positive
"Our teenage kids love it, too.",RESTAURANT#GENERAL,positive
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",RESTAURANT#GENERAL,positive
This is by far my favorite place in the neighborhood.,RESTAURANT#GENERAL,positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",SERVICE#GENERAL,positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",AMBIENCE#GENERAL,positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#QUALITY,positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#STYLE_OPTIONS,positive
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",,
I'm partial to the Gnocchi.,RESTAURANT#GENERAL,positive
This place is incredibly tiny.,RESTAURANT#MISCELLANEOUS,negative
They refuse to seat parties of 3 or more on weekends.,SERVICE#GENERAL,negative
The hostess is rude to the point of being offensive.,SERVICE#GENERAL,negative
The food was bland oily.,FOOD#QUALITY,negative
I just don't understand all the hype...,RESTAURANT#GENERAL,negative
We went to Ino for Valentines.,,
"We have been to this place many times, and always have great food, wine, and service.",FOOD#QUALITY,positive
"We have been to this place many times, and always have great food, wine, and service.",DRINKS#QUALITY,positive
"We have been to this place many times, and always have great food, wine, and service.",SERVICE#GENERAL,positive
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE#GENERAL,positive
As always we had a great glass of wine while we waited.,DRINKS#QUALITY,positive
"When we sat, we got great and fast service.",SERVICE#GENERAL,positive
The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE#GENERAL,positive
Make sure you try this place as often as you can.,RESTAURANT#GENERAL,positive
This is a fun restaurant to go to.,RESTAURANT#GENERAL,positive
The pizza is yummy and I like the atmoshpere.,FOOD#QUALITY,positive
The pizza is yummy and I like the atmoshpere.,AMBIENCE#GENERAL,positive
But the pizza is way to expensive.,FOOD#PRICES,negative
"A large is $20, and toppings are about $3 each.",FOOD#PRICES,negative
"A large is $20, and toppings are about $3 each.",FOOD#PRICES,negative
I went there for lunch and it was not as good as I expected from the reviews I read.,FOOD#QUALITY,negative
Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,negative
Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,negative
"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",,
I don't think I would go again.,RESTAURANT#GENERAL,negative
This place is great.,RESTAURANT#GENERAL,positive
I had a huge group for my birthday and we were well taken care of.,SERVICE#GENERAL,positive
The waitress was very patient with us and the food is phenomenal!,SERVICE#GENERAL,positive
The waitress was very patient with us and the food is phenomenal!,FOOD#QUALITY,positive
"Service was prompt, friendly and great.",SERVICE#GENERAL,positive
Slightly on the pricey side but worth it!,RESTAURANT#PRICES,negative
Slightly on the pricey side but worth it!,RESTAURANT#GENERAL,positive
Great pizza and fantastic service.,FOOD#QUALITY,positive
Great pizza and fantastic service.,SERVICE#GENERAL,positive
"There was a small wait, but shorter than I expected.",SERVICE#GENERAL,positive
Located at the end of a magnificent block.,LOCATION#GENERAL,positive
Very cozy and warm inside.....,AMBIENCE#GENERAL,positive
I will be back!,RESTAURANT#GENERAL,positive
This is the best sushi in new york city - hands down.,FOOD#QUALITY,positive
The place is small and cramped but the food is fantastic.,AMBIENCE#GENERAL,negative
The place is small and cramped but the food is fantastic.,FOOD#QUALITY,positive
Get the tuna of gari.,FOOD#QUALITY,positive
The one on the east side is much better than the one on the west side.,,
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,positive
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,positive
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",RESTAURANT#GENERAL,positive
"With the great variety on the menu , I eat here often and never get bored .",FOOD#STYLE_OPTIONS,positive
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",AMBIENCE#GENERAL,neutral
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",RESTAURANT#PRICES,positive
It's all about the food !!,FOOD#QUALITY,positive
I went there with my friend last saturday.,,
first it took us a long time to find the place.,RESTAURANT#MISCELLANEOUS,negative
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",,
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",FOOD#STYLE_OPTIONS,negative
then we ordered a dinosaur rolls and white tuna sashimi.,,
"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#STYLE_OPTIONS,neutral
"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#QUALITY,negative
"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#QUALITY,negative
"they were dry and disgusting, i didn't even finish my first piece.",FOOD#QUALITY,negative
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,SERVICE#GENERAL,positive
"Try the crunchy tuna, it is to die for.",FOOD#QUALITY,positive
"Try everything for that matter, it is all good.",FOOD#QUALITY,positive
I have been going there since it opened and I can't get enough.,RESTAURANT#GENERAL,positive
First went here to enjoy their garden terrace.,AMBIENCE#GENERAL,positive
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",FOOD#QUALITY,positive
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",SERVICE#GENERAL,positive
"The Steak Tartare is a great bet, they fix it for you at the table.",FOOD#STYLE_OPTIONS,positive
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL,positive
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL,negative
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#STYLE_OPTIONS,positive
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#QUALITY,positive
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#PRICES,positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,neutral
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",FOOD#QUALITY,positive
"Have recommended the place to friends, always gets good response.",RESTAURANT#MISCELLANEOUS,positive
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY,positive
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY,positive
Veal Parmigana - Better than Patsy's!,,
Much more reasonably priced too!,,
I take all my NYC guests to VT's.,RESTAURANT#MISCELLANEOUS,positive
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",LOCATION#GENERAL,positive
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",FOOD#QUALITY,positive
I've been there three times and have always had wonderful experiences.,RESTAURANT#GENERAL,positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,AMBIENCE#GENERAL,positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,SERVICE#GENERAL,positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,RESTAURANT#MISCELLANEOUS,positive
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,RESTAURANT#GENERAL,positive
Even after they overcharged me the last time I was there.,SERVICE#GENERAL,negative
Make sure you have the Spicy Scallop roll.. .,FOOD#QUALITY,positive
it's delicious!,FOOD#QUALITY,positive
"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY,positive
"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY,negative
"Took my mom for Mother's Day, and the maitre d' was pretty rude.",SERVICE#GENERAL,negative
"Told us to sit anywhere, and when we sat he said the table was reserved.",SERVICE#GENERAL,negative
Stepped on my foot on the SECOND time he reached over me to adjust lighting.,SERVICE#GENERAL,negative
Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#STYLE_OPTIONS,negative
Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#PRICES,negative
The drinks are always welll made and wine selection is fairly priced.,DRINKS#QUALITY,positive
The drinks are always welll made and wine selection is fairly priced.,DRINKS#PRICES,positive
Try their chef's specials-- they are to die for.,FOOD#QUALITY,positive
"Service is not exactly five star, but thats not really a big deal.",SERVICE#GENERAL,neutral
Downstairs lounge is always a good attraction,AMBIENCE#GENERAL,positive
"Raga's is a romantic, cozy restaurant.",AMBIENCE#GENERAL,positive
The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#STYLE_OPTIONS,positive
The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#QUALITY,positive
It is also extremely well priced.,FOOD#PRICES,positive
The staff is incredibly helpful and attentive.,SERVICE#GENERAL,positive
The bar is very well stocked with interesting beers and well priced wines.,DRINKS#STYLE_OPTIONS,positive
The bar is very well stocked with interesting beers and well priced wines.,DRINKS#STYLE_OPTIONS,positive
The bar is very well stocked with interesting beers and well priced wines.,DRINKS#PRICES,positive
This is one of my favorite restaurants and it is not to be missed.,RESTAURANT#GENERAL,positive
Your friends will thank you for introducing them to this gem!,RESTAURANT#GENERAL,positive
"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",RESTAURANT#GENERAL,negative
"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",SERVICE#GENERAL,negative
"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes.",SERVICE#GENERAL,negative
Such a disappointment...,SERVICE#GENERAL,negative
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",SERVICE#GENERAL,negative
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",FOOD#QUALITY,neutral
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",RESTAURANT#GENERAL,negative
I had a grat time at Jekyll and Hyde!,RESTAURANT#GENERAL,positive
I loved everythig about it-especially the shows and actors.,RESTAURANT#GENERAL,positive
I loved everythig about it-especially the shows and actors.,AMBIENCE#GENERAL,positive
I loved everythig about it-especially the shows and actors.,AMBIENCE#GENERAL,positive
Our server was very helpful and friendly.,SERVICE#GENERAL,positive
I am bringing my whole family back next time.,RESTAURANT#MISCELLANEOUS,positive
The food was good too.,FOOD#QUALITY,positive
The tuna and wasabe potatoes are excellent.,FOOD#QUALITY,positive
The tuna and wasabe potatoes are excellent.,FOOD#QUALITY,positive
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,LOCATION#GENERAL,positive
"Inside is a little cramped, but to be expected.",AMBIENCE#GENERAL,neutral
Service was prompt and courteous.,SERVICE#GENERAL,positive
This was a repeat visit and we'll definitely be back again.,RESTAURANT#GENERAL,positive
"Great service, great food.",SERVICE#GENERAL,positive
"Great service, great food.",FOOD#QUALITY,positive
Prices are in line.,RESTAURANT#PRICES,neutral
"Compared to other shabu restaurants around town, this places wins hands-down.",,
But too far east!,LOCATION#GENERAL,negative
I live a block away and go to Patsy's frequently.,,
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",FOOD#QUALITY,positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",FOOD#QUALITY,positive
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",FOOD#STYLE_OPTIONS,negative
"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#QUALITY,negative
"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#STYLE_OPTIONS,negative
So eat fast and order a lot.,,
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,SERVICE#GENERAL,negative
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,FOOD#QUALITY,positive
By far the best salad I have had in a fast food restaurant.,FOOD#QUALITY,positive
fine dining restaurant quality.,FOOD#QUALITY,positive
Over 100 different choices to create your own.,FOOD#STYLE_OPTIONS,positive
A must try!,RESTAURANT#GENERAL,positive
"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",RESTAURANT#GENERAL,positive
"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",FOOD#QUALITY,positive
"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",AMBIENCE#GENERAL,positive
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,positive
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#STYLE_OPTIONS,positive
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,positive
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",SERVICE#GENERAL,positive
